Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
100,275.0,179.0,13.0,0.0,55.86,4.0,bowled,3.0,v South Africa,Nagpur,1,2
8,14.0,12.0,1.0,0.0,66.66,4.0,bowled,1.0,v England,Mumbai,1,2
8,28.0,19.0,2.0,0.0,42.1,4.0,lbw,3.0,v England,Mumbai,1,2
76,202.0,155.0,13.0,0.0,49.03,4.0,caught,1.0,v England,Kolkata,1,2
5,17.0,6.0,1.0,0.0,83.33,4.0,caught,3.0,v England,Kolkata,1,2
179,414.0,322.0,24.0,1.0,55.59,4.0,caught,1.0,v West Indies,Nagpur,1,4
54,180.0,138.0,3.0,0.0,39.13,4.0,caught,3.0,v West Indies,Nagpur,1,4
52*,98.0,88.0,5.0,0.0,59.09,4.0,not out,1.0,v New Zealand,Chennai,1,4
2,8.0,8.0,0.0,0.0,25.0,4.0,bowled,1.0,v New Zealand,Cuttack,1,4
23,129.0,93.0,2.0,0.0,24.73,4.0,caught,2.0,v Sri Lanka,Mohali,1,4
15,38.0,20.0,1.0,1.0,75.0,4.0,bowled,1.0,v Sri Lanka,Nagpur,1,4
148,320.0,244.0,20.0,3.0,60.65,5.0,bowled,1.0,v Sri Lanka,Mumbai,1,4
13,28.0,16.0,1.0,0.0,81.25,4.0,caught,3.0,v Sri Lanka,Mumbai,1,4
18,61.0,34.0,3.0,0.0,52.94,4.0,bowled,1.0,v New Zealand,Mohali,1,4
126*,397.0,248.0,14.0,0.0,50.8,4.0,not out,3.0,v New Zealand,Mohali,1,4
217,494.0,344.0,29.0,0.0,63.08,4.0,caught,1.0,v New Zealand,Ahmedabad,1,4
15,16.0,10.0,3.0,0.0,150.0,2.0,bowled,3.0,v New Zealand,Ahmedabad,1,4
201*,392.0,281.0,27.0,0.0,71.53,4.0,not out,1.0,v Zimbabwe,Nagpur,1,4
103,254.0,197.0,12.0,1.0,52.28,4.0,caught,2.0,v England,Ahmedabad,1,4
26,87.0,81.0,4.0,0.0,32.09,4.0,caught,4.0,v England,Ahmedabad,1,4
90,263.0,198.0,13.0,0.0,45.45,4.0,stumped,2.0,v England,Bangalore,1,4
36,85.0,65.0,7.0,0.0,55.38,4.0,caught,1.0,v West Indies,Kolkata,1,4
176,419.0,298.0,26.0,0.0,59.06,4.0,caught,3.0,v West Indies,Kolkata,1,4
8,54.0,38.0,1.0,0.0,21.05,4.0,caught,1.0,v New Zealand,Ahmedabad,1,4
7,19.0,15.0,0.0,0.0,46.66,4.0,caught,3.0,v New Zealand,Ahmedabad,1,4
55,238.0,175.0,6.0,0.0,31.42,4.0,caught,2.0,v New Zealand,Mohali,1,4
1,15.0,10.0,0.0,0.0,10.0,4.0,bowled,3.0,v New Zealand,Mohali,1,4
3,21.0,18.0,0.0,0.0,16.66,4.0,bowled,2.0,v South Africa,Kanpur,1,4
94,301.0,202.0,11.0,0.0,46.53,4.0,caught,2.0,v Pakistan,Mohali,1,4
22,157.0,126.0,2.0,0.0,17.46,4.0,lbw,1.0,v Sri Lanka,Chennai,1,4
16,84.0,45.0,2.0,0.0,35.55,4.0,lbw,2.0,v England,Nagpur,1,4
28*,38.0,19.0,5.0,0.0,147.36,6.0,not out,4.0,v England,Nagpur,1,4
82,146.0,109.0,12.0,0.0,75.22,4.0,bowled,1.0,v Pakistan,Kolkata,1,4
0,9.0,5.0,0.0,0.0,0.0,4.0,caught,2.0,v South Africa,Chennai,1,4
13,26.0,18.0,3.0,0.0,72.22,4.0,caught,2.0,v Australia,Bangalore,1,4
49,177.0,126.0,4.0,0.0,38.88,4.0,caught,4.0,v Australia,Bangalore,1,4
68,188.0,126.0,11.0,0.0,53.96,4.0,caught,1.0,v Australia,Delhi,1,4
47,159.0,120.0,4.0,0.0,39.16,5.0,caught,3.0,v Australia,Delhi,1,4
11,45.0,26.0,1.0,0.0,42.3,4.0,lbw,1.0,v England,Mohali,1,4
5,41.0,22.0,1.0,0.0,22.72,4.0,caught,3.0,v England,Mohali,1,4
4,3.0,3.0,1.0,0.0,133.33,4.0,bowled,1.0,v Sri Lanka,Ahmedabad,1,4
100*,298.0,211.0,11.0,0.0,47.39,5.0,not out,3.0,v Sri Lanka,Ahmedabad,1,4
40,168.0,133.0,5.0,0.0,30.07,4.0,caught,1.0,v New Zealand,Ahmedabad,1,4
12,27.0,25.0,2.0,0.0,48.0,4.0,bowled,3.0,v New Zealand,Ahmedabad,1,4
13,52.0,28.0,1.0,0.0,46.42,4.0,caught,2.0,v New Zealand,Hyderabad (Deccan),1,4
94,219.0,153.0,8.0,2.0,61.43,4.0,caught,2.0,v West Indies,Mumbai,1,4
3,6.0,7.0,0.0,0.0,42.85,4.0,caught,4.0,v West Indies,Mumbai,1,4
2,25.0,13.0,0.0,0.0,15.38,4.0,bowled,2.0,v England,Nagpur,1,4
28,74.0,52.0,5.0,0.0,53.84,4.0,caught,1.0,v Sri Lanka,Colombo (SSC),2,1
104*,217.0,161.0,11.0,1.0,64.59,4.0,not out,3.0,v Sri Lanka,Colombo (SSC),2,1
18,63.0,41.0,1.0,0.0,43.9,5.0,caught,2.0,v Bangladesh,Dhaka,2,1
74,179.0,128.0,12.0,0.0,57.81,4.0,caught,2.0,v Zimbabwe,Bulawayo,2,1
36*,41.0,49.0,4.0,0.0,73.46,4.0,not out,4.0,v Zimbabwe,Bulawayo,2,1
117,356.0,260.0,14.0,0.0,45.0,4.0,lbw,1.0,v West Indies,Port of Spain,2,1
0,16.0,4.0,0.0,0.0,0.0,4.0,lbw,3.0,v West Indies,Port of Spain,2,1
193,434.0,330.0,19.0,3.0,58.48,4.0,lbw,1.0,v England,Leeds,2,1
1,15.0,6.0,0.0,0.0,16.66,4.0,caught,2.0,v Australia,Adelaide,2,1
37,79.0,59.0,5.0,0.0,62.71,4.0,lbw,4.0,v Australia,Adelaide,2,1
194*,493.0,348.0,21.0,0.0,55.74,4.0,not out,1.0,v Pakistan,Multan,2,1
1,6.0,3.0,0.0,0.0,33.33,4.0,caught,2.0,v Pakistan,Rawalpindi,2,1
248*,552.0,379.0,35.0,0.0,65.43,4.0,not out,2.0,v Bangladesh,Dhaka,2,1
36,79.0,55.0,6.0,0.0,65.45,4.0,lbw,1.0,v Bangladesh,Chittagong,2,1
44,113.0,89.0,7.0,0.0,49.43,4.0,caught,1.0,v South Africa,Johannesburg,2,1
14,43.0,22.0,3.0,0.0,63.63,4.0,bowled,3.0,v South Africa,Johannesburg,2,1
122*,354.0,226.0,8.0,1.0,53.98,4.0,not out,1.0,v Bangladesh,Dhaka,2,1
91,259.0,197.0,12.0,0.0,46.19,4.0,lbw,2.0,v England,Nottingham,2,1
1,17.0,15.0,0.0,0.0,6.66,4.0,caught,4.0,v England,Nottingham,2,1
71,175.0,128.0,9.0,0.0,55.46,4.0,lbw,1.0,v Australia,Perth,2,1
13,33.0,25.0,2.0,0.0,52.0,5.0,lbw,3.0,v Australia,Perth,2,1
5,5.0,3.0,1.0,0.0,166.66,4.0,lbw,1.0,v Sri Lanka,Galle,2,1
31,54.0,42.0,5.0,0.0,73.8,4.0,caught,3.0,v Sri Lanka,Galle,2,1
160,397.0,260.0,26.0,0.0,61.53,4.0,caught,2.0,v New Zealand,Hamilton,2,1
105*,246.0,166.0,11.0,2.0,63.25,4.0,not out,1.0,v Bangladesh,Chittagong,2,1
16,47.0,26.0,2.0,0.0,61.53,5.0,lbw,3.0,v Bangladesh,Chittagong,2,1
143,259.0,182.0,13.0,1.0,78.57,4.0,caught,2.0,v Bangladesh,Dhaka,2,1
41,88.0,72.0,5.0,0.0,56.94,4.0,caught,2.0,v Sri Lanka,Colombo (PSS),2,1
54,186.0,122.0,3.0,0.0,44.26,4.0,caught,4.0,v Sri Lanka,Colombo (PSS),2,1
13,42.0,22.0,3.0,0.0,59.09,4.0,caught,1.0,v South Africa,Durban,2,1
6,22.0,10.0,1.0,0.0,60.0,4.0,caught,3.0,v South Africa,Durban,2,1
0,1.0,1.0,0.0,0.0,0.0,6.0,caught,2.0,v New Zealand,Christchurch,2,2
24,50.0,44.0,3.0,0.0,54.54,6.0,caught,3.0,v New Zealand,Christchurch,2,2
10,30.0,19.0,1.0,0.0,52.63,6.0,bowled,2.0,v England,Lord's,2,2
27,93.0,65.0,4.0,0.0,41.53,6.0,caught,4.0,v England,Lord's,2,2
16,47.0,42.0,3.0,0.0,38.09,6.0,bowled,1.0,v Australia,Brisbane,2,2
7,36.0,25.0,1.0,0.0,28.0,6.0,caught,3.0,v Australia,Brisbane,2,2
15,33.0,23.0,0.0,0.0,65.21,7.0,caught,1.0,v Australia,Melbourne,2,2
40,122.0,107.0,5.0,0.0,37.38,7.0,caught,3.0,v Australia,Melbourne,2,2
6,20.0,8.0,1.0,0.0,75.0,6.0,lbw,2.0,v Australia,Adelaide,2,2
17,36.0,29.0,2.0,0.0,58.62,4.0,lbw,4.0,v Australia,Adelaide,2,2
114,228.0,161.0,16.0,0.0,70.8,4.0,caught,2.0,v Australia,Perth,2,2
5,12.0,9.0,1.0,0.0,55.55,4.0,caught,4.0,v Australia,Perth,2,2
6,27.0,17.0,1.0,0.0,35.29,4.0,caught,1.0,v South Africa,Port Elizabeth,2,2
0,1.0,1.0,0.0,0.0,0.0,4.0,caught,3.0,v South Africa,Port Elizabeth,2,2
24,71.0,41.0,4.0,0.0,58.53,4.0,bowled,1.0,v England,Birmingham,2,2
122,263.0,177.0,19.0,1.0,68.92,4.0,caught,3.0,v England,Birmingham,2,2
15,58.0,45.0,2.0,0.0,33.33,4.0,bowled,2.0,v South Africa,Durban,2,2
4,32.0,25.0,1.0,0.0,16.0,4.0,caught,4.0,v South Africa,Durban,2,2
169,329.0,254.0,26.0,0.0,66.53,5.0,caught,2.0,v South Africa,Cape Town,2,2
9,38.0,28.0,1.0,0.0,32.14,5.0,caught,4.0,v South Africa,Cape Town,2,2
92,222.0,147.0,14.0,1.0,62.58,4.0,caught,2.0,v West Indies,Bridgetown,2,2
4,25.0,14.0,0.0,0.0,28.57,4.0,caught,4.0,v West Indies,Bridgetown,2,2
34,103.0,68.0,3.0,0.0,50.0,5.0,caught,2.0,v Zimbabwe,Harare,2,2
7,27.0,14.0,0.0,0.0,50.0,4.0,caught,4.0,v Zimbabwe,Harare,2,2
47,95.0,72.0,7.0,0.0,65.27,5.0,caught,1.0,v New Zealand,Wellington,2,2
113,200.0,151.0,13.0,2.0,74.83,5.0,caught,3.0,v New Zealand,Wellington,2,2
61,181.0,133.0,8.0,0.0,45.86,5.0,caught,2.0,v Australia,Adelaide,2,2
0,6.0,5.0,0.0,0.0,0.0,5.0,lbw,4.0,v Australia,Adelaide,2,2
116,283.0,191.0,9.0,1.0,60.73,4.0,caught,2.0,v Australia,Melbourne,2,2
52,162.0,122.0,4.0,0.0,42.62,4.0,lbw,4.0,v Australia,Melbourne,2,2
45,82.0,53.0,8.0,0.0,84.9,4.0,lbw,1.0,v Australia,Sydney,2,2
4,6.0,4.0,1.0,0.0,100.0,4.0,caught,3.0,v Australia,Sydney,2,2
20,78.0,46.0,2.0,1.0,43.47,4.0,bowled,1.0,v Zimbabwe,Harare,2,2
69,185.0,135.0,9.0,0.0,51.11,4.0,caught,3.0,v Zimbabwe,Harare,2,2
155,233.0,184.0,23.0,1.0,84.23,4.0,caught,1.0,v South Africa,Bloemfontein,2,2
15,60.0,35.0,2.0,0.0,42.85,4.0,caught,3.0,v South Africa,Bloemfontein,2,2
0,4.0,2.0,0.0,0.0,0.0,4.0,caught,1.0,v West Indies,Bridgetown,2,2
8,32.0,17.0,1.0,0.0,47.05,4.0,lbw,3.0,v West Indies,Bridgetown,2,2
41,94.0,63.0,7.0,0.0,65.07,4.0,bowled,2.0,v West Indies,Kingston,2,2
86,162.0,139.0,13.0,0.0,61.87,4.0,bowled,4.0,v West Indies,Kingston,2,2
16,94.0,61.0,2.0,0.0,26.22,5.0,caught,2.0,v England,Lord's,2,2
12,51.0,35.0,2.0,0.0,34.28,4.0,bowled,4.0,v England,Lord's,2,2
8,47.0,26.0,2.0,0.0,30.76,4.0,lbw,1.0,v New Zealand,Wellington,2,2
51,120.0,74.0,7.0,0.0,68.91,4.0,bowled,3.0,v New Zealand,Wellington,2,2
9,40.0,31.0,1.0,0.0,29.03,4.0,caught,1.0,v New Zealand,Hamilton,2,2
32,55.0,48.0,5.0,0.0,66.66,4.0,bowled,3.0,v New Zealand,Hamilton,2,2
0,3.0,1.0,0.0,0.0,0.0,4.0,caught,1.0,v Australia,Melbourne,2,2
44,107.0,79.0,5.0,0.0,55.69,5.0,caught,3.0,v Australia,Melbourne,2,2
2,10.0,6.0,0.0,0.0,33.33,4.0,lbw,1.0,v Pakistan,Lahore,2,2
8,17.0,11.0,1.0,0.0,72.72,4.0,lbw,3.0,v Pakistan,Lahore,2,2
23,49.0,29.0,5.0,0.0,79.31,4.0,bowled,2.0,v Pakistan,Karachi,2,2
26,74.0,47.0,5.0,0.0,55.31,4.0,bowled,4.0,v Pakistan,Karachi,2,2
63,173.0,115.0,11.0,0.0,54.78,4.0,caught,2.0,v South Africa,Durban,2,2
0,13.0,7.0,0.0,0.0,0.0,4.0,lbw,4.0,v South Africa,Durban,2,2
64,187.0,130.0,11.0,0.0,49.23,4.0,caught,1.0,v South Africa,Cape Town,2,2
14,88.0,62.0,1.0,0.0,22.58,5.0,lbw,3.0,v South Africa,Cape Town,2,2
62,113.0,77.0,7.0,1.0,80.51,4.0,bowled,2.0,v Australia,Melbourne,2,2
15,31.0,21.0,1.0,0.0,71.42,4.0,caught,4.0,v Australia,Melbourne,2,2
154*,429.0,243.0,14.0,1.0,63.37,4.0,not out,2.0,v Australia,Sydney,2,2
12,33.0,16.0,3.0,0.0,75.0,4.0,bowled,4.0,v Australia,Sydney,2,2
27,60.0,46.0,3.0,0.0,58.69,4.0,bowled,2.0,v Sri Lanka,Colombo (SSC),2,2
12,42.0,30.0,1.0,0.0,40.0,4.0,caught,3.0,v Sri Lanka,Colombo (SSC),2,2
6,18.0,12.0,0.0,0.0,50.0,4.0,lbw,1.0,v Sri Lanka,Colombo (PSS),2,2
14,26.0,22.0,1.0,0.0,63.63,6.0,lbw,3.0,v Sri Lanka,Colombo (PSS),2,2
8,29.0,21.0,1.0,0.0,38.09,4.0,lbw,2.0,v Sri Lanka,Galle,2,2
84,168.0,142.0,11.0,1.0,59.15,4.0,lbw,3.0,v Sri Lanka,Galle,2,2
36,61.0,34.0,8.0,0.0,105.88,4.0,lbw,1.0,v South Africa,Centurion,2,2
111*,327.0,241.0,13.0,1.0,46.05,5.0,not out,3.0,v South Africa,Centurion,2,2
34,90.0,58.0,6.0,0.0,58.62,4.0,caught,2.0,v England,Lord's,2,2
12,84.0,68.0,1.0,0.0,17.64,5.0,lbw,4.0,v England,Lord's,2,2
