Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
52*,98,88,5,0,59.09,4,not out,1,v New Zealand,Chennai,1,4
2,8,8,0,0,25,4,bowled,1,v New Zealand,Cuttack,1,4
23,129,93,2,0,24.73,4,caught,2,v Sri Lanka,Mohali,1,4
15,38,20,1,1,75,4,bowled,1,v Sri Lanka,Nagpur,1,4
148,320,244,20,3,60.65,5,bowled,1,v Sri Lanka,Mumbai,1,4
13,28,16,1,0,81.25,4,caught,3,v Sri Lanka,Mumbai,1,4
18,61,34,3,0,52.94,4,bowled,1,v New Zealand,Mohali,1,4
126*,397,248,14,0,50.8,4,not out,3,v New Zealand,Mohali,1,4
217,494,344,29,0,63.08,4,caught,1,v New Zealand,Ahmedabad,1,4
15,16,10,3,0,150,2,bowled,3,v New Zealand,Ahmedabad,1,4
201*,392,281,27,0,71.53,4,not out,1,v Zimbabwe,Nagpur,1,4
103,254,197,12,1,52.28,4,caught,2,v England,Ahmedabad,1,4
26,87,81,4,0,32.09,4,caught,4,v England,Ahmedabad,1,4
90,263,198,13,0,45.45,4,stumped,2,v England,Bangalore,1,4
36,85,65,7,0,55.38,4,caught,1,v West Indies,Kolkata,1,4
176,419,298,26,0,59.06,4,caught,3,v West Indies,Kolkata,1,4
8,54,38,1,0,21.05,4,caught,1,v New Zealand,Ahmedabad,1,4
7,19,15,0,0,46.66,4,caught,3,v New Zealand,Ahmedabad,1,4
55,238,175,6,0,31.42,4,caught,2,v New Zealand,Mohali,1,4
1,15,10,0,0,10,4,bowled,3,v New Zealand,Mohali,1,4
3,21,18,0,0,16.66,4,bowled,2,v South Africa,Kanpur,1,4
94,301,202,11,0,46.53,4,caught,2,v Pakistan,Mohali,1,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v Pakistan,Mohali,1,4
22,157,126,2,0,17.46,4,lbw,1,v Sri Lanka,Chennai,1,4
16,84,45,2,0,35.55,4,lbw,2,v England,Nagpur,1,4
28*,38,19,5,0,147.36,6,not out,4,v England,Nagpur,1,4
82,146,109,12,0,75.22,4,bowled,1,v Pakistan,Kolkata,1,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,v Pakistan,Kolkata,1,4
0,9,5,0,0,0,4,caught,2,v South Africa,Chennai,1,4
13,26,18,3,0,72.22,4,caught,2,v Australia,Bangalore,1,4
49,177,126,4,0,38.88,4,caught,4,v Australia,Bangalore,1,4
68,188,126,11,0,53.96,4,caught,1,v Australia,Delhi,1,4
47,159,120,4,0,39.16,5,caught,3,v Australia,Delhi,1,4
11,45,26,1,0,42.3,4,lbw,1,v England,Mohali,1,4
5,41,22,1,0,22.72,4,caught,3,v England,Mohali,1,4
4,3,3,1,0,133.33,4,bowled,1,v Sri Lanka,Ahmedabad,1,4
